Page,KnownLinks,UnknownLinks,InterLinks,OutLinks
http://cybermetrics.wlv.ac.uk/audit/books/urls2.htm,1,91,1,90
http://cybermetrics.wlv.ac.uk/audit/101/tlds2.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=D&O=A,38,0,38,0
http://cybermetrics.wlv.ac.uk/database/stats/?C=S&O=D,8,3,8,0
http://cybermetrics.wlv.ac.uk/audit/101/sites4.htm,2,0,2,0
http://linkanalysis.wlv.ac.uk/8.htm,29,2,29,2
http://cybermetrics.wlv.ac.uk/audit/books/tlds4.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002_file_document_counts_from_to.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk/11.htm,29,6,29,6
http://cybermetrics.wlv.ac.uk/audit/101/sites10.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_directory_document_counts_from_to.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk/26.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002_uni_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001_directory_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/urls8.htm,1,79,1,78
http://socscibot.wlv.ac.uk/socscibot4help/tutorial3.htm,9,4,7,6
http://cybermetrics.wlv.ac.uk/audit/101/sites5.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002_domain_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/Web_mention_impact_audit_application.htm,10,0,10,0
http://cybermetrics.wlv.ac.uk/database/domain_names_au_2004.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/domains3.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/noruzi.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002_uni_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds9.htm,1,1,1,0
http://linkanalysis.wlv.ac.uk/5.htm,29,5,29,5
http://cybermetrics.wlv.ac.uk/forum.htm,11,6,11,6
http://cybermetrics.wlv.ac.uk/database/stats/data_only/uk_2002_homePageLinks.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/domains7.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds7.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/Berkowitz.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_domain_document_counts_from_to.txt,0,0,0,0
http://socscibot.wlv.ac.uk/socscibot4help/linguistics.htm,10,2,8,4
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/LinkAnalysisTrainingAfternoon.htm,11,2,9,4
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=M&O=D,38,0,38,0
http://cybermetrics.wlv.ac.uk/audit/books/sites8.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=M&O=A,38,0,38,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only,6,0,6,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=M&O=A,6,0,6,0
http://socscibot.wlv.ac.uk/help/linguistics.htm,9,0,7,2
http://cybermetrics.wlv.ac.uk/LexiURL/help/SummarisingURLLists.htm,3,2,3,0
http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/arroyo.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/database,31,8,30,9
http://cybermetrics.wlv.ac.uk/audit/101/urls7.htm,2,84,2,84
http://cybermetrics.wlv.ac.uk/AoIRASIST/thelwall.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds6.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/shaw.html,20,0,20,0
http://linkanalysis.wlv.ac.uk/10.htm,29,1,29,1
http://socscibot.wlv.ac.uk/socscibot4help/tutorial1.htm,11,3,10,4
http://cybermetrics.wlv.ac.uk/audit/books/sites10.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds3.htm,2,0,2,0
http://lexiurl.wlv.ac.uk,0,32,0,32
http://linkanalysis.wlv.ac.uk/23.htm,30,20,29,21
http://socscibot.wlv.ac.uk/help/reports.html,3,5,2,1
http://cybermetrics.wlv.ac.uk/audit/books/sites3.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002_directory_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002_file_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds7.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds5.htm,1,1,1,0
http://socscibot.wlv.ac.uk/help/tutorial2.htm,9,2,7,4
http://cybermetrics.wlv.ac.uk/database/stats/data/nz_2002_domain_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/urls10.htm,2,1666,2,1666
http://cybermetrics.wlv.ac.uk/audit/books/tlds2.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/domains5.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/urls7.htm,1,509,1,508
http://cybermetrics.wlv.ac.uk/database/stats/data/nz_2002_file_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/bjorneborn.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/audit/101/domains1.htm,2,0,2,0
http://socscibot.wlv.ac.uk/help/tutorial1.htm,10,1,8,3
http://cybermetrics.wlv.ac.uk/audit/books/stlds9.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds5.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds7.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/urls3.htm,1,217,1,216
http://cybermetrics.wlv.ac.uk/AoIRASIST/uberti.html,20,3,20,3
http://cybermetrics.wlv.ac.uk/audit/books/index.html,52,1,52,1
http://linkanalysis.wlv.ac.uk/20.htm,31,1,29,3
http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/Web_impact_audit_application.htm,10,0,10,0
http://cybermetrics.wlv.ac.uk/audit/101/sites6.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/index.html,57,0,57,0
http://cybermetrics.wlv.ac.uk/audit/101/domains6.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/urls5.htm,2,14,2,14
http://cybermetrics.wlv.ac.uk/cybermetricsmap.html,1,0,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002_file_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/urls6.htm,2,54,2,54
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=S&O=D,38,0,38,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds10.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/urls9.htm,1,111,1,110
http://cybermetrics.wlv.ac.uk/audit/101/stlds7.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds8.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002_domain_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/sites2.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/domain_names_uk_2003.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/domains8.htm,1,1,1,0
http://socscibot.wlv.ac.uk/socscibot4help/images/TestWebSites.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/domains10.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/domain_names_nz_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/icr.html,11,2,11,2
http://cybermetrics.wlv.ac.uk/audit/101/urls2.htm,2,39,2,39
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2001.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/domain_names_uk_2001.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds1.htm,1,0,1,0
http://cybermetrics.wlv.ac.uk/database/index.html,30,14,29,9
http://linkanalysis.wlv.ac.uk/1.htm,29,10,29,10
http://cybermetrics.wlv.ac.uk/audit/101/stlds9.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=D&O=A,6,0,6,0
http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002_uni_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds11.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/domains5.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/uk_2002_random_links_100_from_111.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/DigitalRepositories/index.html,2,3,2,3
http://cybermetrics.wlv.ac.uk/audit/101/domains2.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_uni_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/sites2.htm,1,1,1,0
http://socscibot.wlv.ac.uk/help/vista.html,3,0,2,1
http://cybermetrics.wlv.ac.uk/icr_print.html,0,2,0,2
http://socscibot.wlv.ac.uk/socscibot4help/FAQ.htm,9,3,8,4
http://linkanalysis.wlv.ac.uk/index.html,29,2,29,2
http://cybermetrics.wlv.ac.uk/AoIRASIST/hine.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/audit/101/urls9.htm,2,104,2,104
http://cybermetrics.wlv.ac.uk/audit/101/stlds2.htm,2,0,2,0
http://socscibot.wlv.ac.uk/help/FAQ.htm,9,1,8,2
http://cybermetrics.wlv.ac.uk/database/domain_names_aus_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/overview.html,1,0,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=D&O=D,6,0,6,0
http://linkanalysis.wlv.ac.uk/13.htm,31,1,29,3
http://cybermetrics.wlv.ac.uk/audit/books/tlds8.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/domains10.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds6.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds1.htm,1,1,1,0
http://socscibot.wlv.ac.uk/index.html,11,4,9,6
http://cybermetrics.wlv.ac.uk/audit/books/sites1.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/scharnhorst.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/audit/books/domains9.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/faq.htm,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds8.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/domains8.htm,2,0,2,0
http://linkanalysis.wlv.ac.uk/4.htm,29,5,29,5
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2001_file_document_counts_from_to.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk,29,2,29,2
http://linkanalysis.wlv.ac.uk/15.htm,29,1,29,1
http://cybermetrics.wlv.ac.uk/AoIRASIST/index.html,20,2,20,2
http://cybermetrics.wlv.ac.uk/audit/101/urls11.htm,2,5131,2,5131
http://cybermetrics.wlv.ac.uk/audit/books/urls6.htm,1,207,1,206
http://linkanalysis.wlv.ac.uk/18.htm,30,5,29,6
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=S&O=A,6,0,6,0
http://cybermetrics.wlv.ac.uk/audit/101/domains3.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/sites1.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/GettingHere.html,10,1,10,1
http://cybermetrics.wlv.ac.uk/LexiURL/help/LinkStructureSmallExample.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds5.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/urls5.htm,1,141,1,140
http://cybermetrics.wlv.ac.uk/audit/101/domains11.htm,2,0,2,0
http://linkanalysis.wlv.ac.uk/3.htm,29,4,29,4
http://cybermetrics.wlv.ac.uk/audit/101/stlds5.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds4.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds8.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/nz_2002_directory_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/Barjak.html,20,0,20,0
http://linkanalysis.wlv.ac.uk/16.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/Awards.htm,10,8,10,8
http://cybermetrics.wlv.ac.uk/database/domain_names_au_2003.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/urls4.htm,2,30,2,30
http://cybermetrics.wlv.ac.uk/AoIRASIST/choudhury.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=S&O=D,6,0,6,0
http://cybermetrics.wlv.ac.uk/workshopJan2009.html,10,3,10,3
http://linkanalysis.wlv.ac.uk/14.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/AoIRASIST/kim.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/audit/101/sites3.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/LexiURL/help/resources/SCIT%20query.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/publications.htm,10,3,10,3
http://cybermetrics.wlv.ac.uk/audit/101/tlds9.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/banned_nz_2003.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/resources.htm,18,7,16,9
http://linkanalysis.wlv.ac.uk/24.htm,29,10,29,10
http://socscibot.wlv.ac.uk/help/tutorial3.htm,9,0,7,2
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=N&O=A,38,0,38,0
http://cybermetrics.wlv.ac.uk/audit/books/domains1.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/sites7.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=N&O=D,38,0,38,0
http://cybermetrics.wlv.ac.uk,11,4,11,4
http://socscibot.wlv.ac.uk/socscibot4help/tutorial2.htm,10,4,8,6
http://cybermetrics.wlv.ac.uk/audit/books/sites6.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/domains4.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/nz_2002.txt,0,0,0,0
